Sentence
"Hello, how are you?"
"नमस्ते, आप कैसे हैं?"
"Hola, ¿cómo estás?"
"Bonjour, comment ça va ?"
你好，你好吗？
"Hallo, wie geht es dir?"
"Ciao, come stai?"
"Привет, как дела?"
こんにちは、お元気ですか？
"Merhaba, nasılsın?"
"Sawubona, unjani?"
"Salve, quid agis?"
"Kia ora, pēhea koe?"
Apa khabar?
"Kamusta, kumusta ka?"
"Xin chào, bạn khỏe không?"
"Shalom, ma shlomcha?"
"Sveiki, kā jums klājas?"
"Tere, kuidas läheb?"
"Olá, como vai você?"
"Szia, hogy vagy?"
"Moien, wéi geet et Iech?"
"Dobrý den, jak se máš?"
"Halo, apa kabar?"
"Selam, neceysin?"
